,country,sector,value,timestamp,year,month,day
0,Brazil,Power,0.108768,1546272000,2019,1,1
1,China,Power,14.251,1546272000,2019,1,1
2,EU27 & UK,Power,1.67692,1546272000,2019,1,1
3,France,Power,0.049075,1546272000,2019,1,1
4,Germany,Power,0.349691,1546272000,2019,1,1
5,India,Power,3.3498099999999997,1546272000,2019,1,1
6,Italy,Power,0.145963,1546272000,2019,1,1
7,Japan,Power,1.2958,1546272000,2019,1,1
8,ROW,Power,8.88958,1546272000,2019,1,1
9,Russia,Power,2.71873,1546272000,2019,1,1
10,Spain,Power,0.116931,1546272000,2019,1,1
11,UK,Power,0.174361,1546272000,2019,1,1
12,US,Power,3.96892,1546272000,2019,1,1
13,WORLD,Power,36.2596,1546272000,2019,1,1
14,Brazil,Power,0.12360299999999999,1546358400,2019,1,2
15,China,Power,15.4874,1546358400,2019,1,2
16,EU27 & UK,Power,2.65686,1546358400,2019,1,2
17,France,Power,0.103208,1546358400,2019,1,2
18,Germany,Power,0.569285,1546358400,2019,1,2
19,India,Power,3.39299,1546358400,2019,1,2
20,Italy,Power,0.23145500000000002,1546358400,2019,1,2
21,Japan,Power,1.27251,1546358400,2019,1,2
22,ROW,Power,9.869530000000001,1546358400,2019,1,2
23,Russia,Power,2.80328,1546358400,2019,1,2
24,Spain,Power,0.13881300000000002,1546358400,2019,1,2
25,UK,Power,0.330929,1546358400,2019,1,2
26,US,Power,4.62437,1546358400,2019,1,2
27,WORLD,Power,40.2306,1546358400,2019,1,2
28,Brazil,Power,0.12138099999999999,1546444800,2019,1,3
29,China,Power,15.3806,1546444800,2019,1,3
30,EU27 & UK,Power,3.5159800000000003,1546444800,2019,1,3
31,France,Power,0.12047000000000001,1546444800,2019,1,3
32,Germany,Power,0.924775,1546444800,2019,1,3
33,India,Power,3.42657,1546444800,2019,1,3
34,Italy,Power,0.252203,1546444800,2019,1,3
35,Japan,Power,1.32795,1546444800,2019,1,3
36,ROW,Power,10.6795,1546444800,2019,1,3
37,Russia,Power,2.8705700000000003,1546444800,2019,1,3
38,Spain,Power,0.178143,1546444800,2019,1,3
39,UK,Power,0.381344,1546444800,2019,1,3
40,US,Power,4.45061,1546444800,2019,1,3
41,WORLD,Power,41.7732,1546444800,2019,1,3
42,Brazil,Power,0.11148800000000002,1546531200,2019,1,4
43,China,Power,15.0996,1546531200,2019,1,4
44,EU27 & UK,Power,3.39935,1546531200,2019,1,4
45,France,Power,0.133278,1546531200,2019,1,4
46,Germany,Power,0.833835,1546531200,2019,1,4
47,India,Power,3.46495,1546531200,2019,1,4
48,Italy,Power,0.288215,1546531200,2019,1,4
49,Japan,Power,1.47025,1546531200,2019,1,4
50,ROW,Power,11.0918,1546531200,2019,1,4
51,Russia,Power,2.85162,1546531200,2019,1,4
52,Spain,Power,0.208573,1546531200,2019,1,4
53,UK,Power,0.365631,1546531200,2019,1,4
54,US,Power,4.35964,1546531200,2019,1,4
55,WORLD,Power,41.8487,1546531200,2019,1,4
56,Brazil,Power,0.11873800000000001,1546617600,2019,1,5
57,China,Power,15.2261,1546617600,2019,1,5
58,EU27 & UK,Power,2.88561,1546617600,2019,1,5
59,France,Power,0.139713,1546617600,2019,1,5
60,Germany,Power,0.684072,1546617600,2019,1,5
61,India,Power,3.43736,1546617600,2019,1,5
62,Italy,Power,0.254013,1546617600,2019,1,5
63,Japan,Power,1.4838,1546617600,2019,1,5
64,ROW,Power,10.5937,1546617600,2019,1,5
65,Russia,Power,2.8421,1546617600,2019,1,5
66,Spain,Power,0.163821,1546617600,2019,1,5
67,UK,Power,0.310589,1546617600,2019,1,5
68,US,Power,4.03379,1546617600,2019,1,5
69,WORLD,Power,40.6212,1546617600,2019,1,5
70,Brazil,Power,0.120111,1546704000,2019,1,6
71,China,Power,14.7128,1546704000,2019,1,6
