country,date,sector,value,timestamp
Brazil,1/1/2019,Power,0.108768,1546272000
China,1/1/2019,Power,14.251,1546272000
EU27 & UK,1/1/2019,Power,1.67692,1546272000
France,1/1/2019,Power,0.049075,1546272000
Germany,1/1/2019,Power,0.349691,1546272000
India,1/1/2019,Power,3.34981,1546272000
Italy,1/1/2019,Power,0.145963,1546272000
Japan,1/1/2019,Power,1.2958,1546272000
ROW,1/1/2019,Power,8.88958,1546272000
Russia,1/1/2019,Power,2.71873,1546272000
Spain,1/1/2019,Power,0.116931,1546272000
UK,1/1/2019,Power,0.174361,1546272000
US,1/1/2019,Power,3.96892,1546272000
WORLD,1/1/2019,Power,36.2596,1546272000
Brazil,2/1/2019,Power,0.123603,1546358400
China,2/1/2019,Power,15.4874,1546358400
EU27 & UK,2/1/2019,Power,2.65686,1546358400
France,2/1/2019,Power,0.103208,1546358400
Germany,2/1/2019,Power,0.569285,1546358400
India,2/1/2019,Power,3.39299,1546358400
Italy,2/1/2019,Power,0.231455,1546358400
Japan,2/1/2019,Power,1.27251,1546358400
ROW,2/1/2019,Power,9.86953,1546358400
Russia,2/1/2019,Power,2.80328,1546358400
Spain,2/1/2019,Power,0.138813,1546358400
UK,2/1/2019,Power,0.330929,1546358400
US,2/1/2019,Power,4.62437,1546358400
WORLD,2/1/2019,Power,40.2306,1546358400
Brazil,3/1/2019,Power,0.121381,1546444800
China,3/1/2019,Power,15.3806,1546444800
EU27 & UK,3/1/2019,Power,3.51598,1546444800
France,3/1/2019,Power,0.12047,1546444800
Germany,3/1/2019,Power,0.924775,1546444800
India,3/1/2019,Power,3.42657,1546444800
Italy,3/1/2019,Power,0.252203,1546444800
Japan,3/1/2019,Power,1.32795,1546444800
ROW,3/1/2019,Power,10.6795,1546444800
Russia,3/1/2019,Power,2.87057,1546444800
Spain,3/1/2019,Power,0.178143,1546444800
UK,3/1/2019,Power,0.381344,1546444800
US,3/1/2019,Power,4.45061,1546444800
WORLD,3/1/2019,Power,41.7732,1546444800
Brazil,4/1/2019,Power,0.111488,1546531200
China,4/1/2019,Power,15.0996,1546531200
EU27 & UK,4/1/2019,Power,3.39935,1546531200
France,4/1/2019,Power,0.133278,1546531200
Germany,4/1/2019,Power,0.833835,1546531200
India,4/1/2019,Power,3.46495,1546531200
Italy,4/1/2019,Power,0.288215,1546531200
Japan,4/1/2019,Power,1.47025,1546531200
ROW,4/1/2019,Power,11.0918,1546531200
Russia,4/1/2019,Power,2.85162,1546531200
Spain,4/1/2019,Power,0.208573,1546531200
UK,4/1/2019,Power,0.365631,1546531200
US,4/1/2019,Power,4.35964,1546531200
WORLD,4/1/2019,Power,41.8487,1546531200
Brazil,5/1/2019,Power,0.118738,1546617600
China,5/1/2019,Power,15.2261,1546617600
EU27 & UK,5/1/2019,Power,2.88561,1546617600
France,5/1/2019,Power,0.139713,1546617600
Germany,5/1/2019,Power,0.684072,1546617600
India,5/1/2019,Power,3.43736,1546617600
Italy,5/1/2019,Power,0.254013,1546617600
Japan,5/1/2019,Power,1.4838,1546617600
ROW,5/1/2019,Power,10.5937,1546617600
Russia,5/1/2019,Power,2.8421,1546617600
Spain,5/1/2019,Power,0.163821,1546617600
UK,5/1/2019,Power,0.310589,1546617600
US,5/1/2019,Power,4.03379,1546617600
WORLD,5/1/2019,Power,40.6212,1546617600
Brazil,6/1/2019,Power,0.120111,1546704000
China,6/1/2019,Power,14.7128,1546704000
EU27 & UK,6/1/2019,Power,3.07341,1546704000
France,6/1/2019,Power,0.133127,1546704000
Germany,6/1/2019,Power,0.831021,1546704000
India,6/1/2019,Power,3.26706,1546704000
Italy,6/1/2019,Power,0.221745,1546704000
Japan,6/1/2019,Power,1.54191,1546704000
ROW,6/1/2019,Power,10.6523,1546704000
Russia,6/1/2019,Power,2.87217,1546704000
Spain,6/1/2019,Power,0.125457,1546704000
UK,6/1/2019,Power,0.307195,1546704000
US,6/1/2019,Power,3.45023,1546704000
WORLD,6/1/2019,Power,39.69,1546704000
Brazil,7/1/2019,Power,0.114758,1546790400
China,7/1/2019,Power,15.1418,1546790400
EU27 & UK,7/1/2019,Power,3.33741,1546790400
France,7/1/2019,Power,0.136135,1546790400
Germany,7/1/2019,Power,0.912919,1546790400
India,7/1/2019,Power,3.36061,1546790400
Italy,7/1/2019,Power,0.345437,1546790400
Japan,7/1/2019,Power,1.76474,1546790400
ROW,7/1/2019,Power,11.8829,1546790400
Russia,7/1/2019,Power,2.90211,1546790400
Spain,7/1/2019,Power,0.174078,1546790400
UK,7/1/2019,Power,0.217382,1546790400
US,7/1/2019,Power,3.88696,1546790400
WORLD,7/1/2019,Power,42.3913,1546790400
Brazil,8/1/2019,Power,0.11711,1546876800
China,8/1/2019,Power,14.8121,1546876800
EU27 & UK,8/1/2019,Power,2.74073,1546876800
France,8/1/2019,Power,0.124856,1546876800
Germany,8/1/2019,Power,0.557402,1546876800
India,8/1/2019,Power,3.48174,1546876800
Italy,8/1/2019,Power,0.383874,1546876800
Japan,8/1/2019,Power,1.84509,1546876800
ROW,8/1/2019,Power,11.755,1546876800
Russia,8/1/2019,Power,2.92174,1546876800
Spain,8/1/2019,Power,0.196309,1546876800
UK,8/1/2019,Power,0.219729,1546876800
US,8/1/2019,Power,3.79166,1546876800
WORLD,8/1/2019,Power,41.4651,1546876800
Brazil,9/1/2019,Power,0.11763,1546963200
China,9/1/2019,Power,15.1746,1546963200
EU27 & UK,9/1/2019,Power,3.20433,1546963200
France,9/1/2019,Power,0.126806,1546963200
Germany,9/1/2019,Power,0.714889,1546963200
India,9/1/2019,Power,3.47215,1546963200
Italy,9/1/2019,Power,0.364173,1546963200
Japan,9/1/2019,Power,1.88496,1546963200
ROW,9/1/2019,Power,12.4484,1546963200
Russia,9/1/2019,Power,2.92599,1546963200
Spain,9/1/2019,Power,0.177026,1546963200
UK,9/1/2019,Power,0.331572,1546963200
US,9/1/2019,Power,4.33347,1546963200
WORLD,9/1/2019,Power,43.5615,1546963200
Brazil,10/1/2019,Power,0.120424,1547049600
China,10/1/2019,Power,15.1455,1547049600
EU27 & UK,10/1/2019,Power,3.9212,1547049600
France,10/1/2019,Power,0.15182,1547049600
Germany,10/1/2019,Power,1.04471,1547049600
India,10/1/2019,Power,3.48294,1547049600
Italy,10/1/2019,Power,0.366405,1547049600
Japan,10/1/2019,Power,1.9733,1547049600
ROW,10/1/2019,Power,13.4817,1547049600
Russia,10/1/2019,Power,2.98074,1547049600
Spain,10/1/2019,Power,0.176588,1547049600
UK,10/1/2019,Power,0.375012,1547049600
US,10/1/2019,Power,4.82724,1547049600
WORLD,10/1/2019,Power,45.9331,1547049600
Brazil,11/1/2019,Power,0.118851,1547136000
China,11/1/2019,Power,15.2308,1547136000
EU27 & UK,11/1/2019,Power,3.68921,1547136000
France,11/1/2019,Power,0.157934,1547136000
Germany,11/1/2019,Power,0.953231,1547136000
India,11/1/2019,Power,3.52972,1547136000
Italy,11/1/2019,Power,0.394724,1547136000
Japan,11/1/2019,Power,1.8936,1547136000
ROW,11/1/2019,Power,13.0571,1547136000
Russia,11/1/2019,Power,2.99128,1547136000
Spain,11/1/2019,Power,0.189747,1547136000
UK,11/1/2019,Power,0.332592,1547136000
US,11/1/2019,Power,4.95906,1547136000
WORLD,11/1/2019,Power,45.4696,1547136000
Brazil,12/1/2019,Power,0.125484,1547222400
China,12/1/2019,Power,14.8271,1547222400
EU27 & UK,12/1/2019,Power,2.57574,1547222400
France,12/1/2019,Power,0.129943,1547222400
Germany,12/1/2019,Power,0.624668,1547222400
India,12/1/2019,Power,3.50813,1547222400
Italy,12/1/2019,Power,0.281727,1547222400
