iter	RMSE
0	5.105932567
1	4.627893564
2	4.204499782
3	3.820135615
4	3.472589973
5	3.155735579
6	2.873886708
7	2.621392333
8	2.409115407
9	2.212412826
10	2.028911672
11	1.869512298
12	1.730326445
13	1.601233157
14	1.490861924
15	1.387039336
16	1.296598544
17	1.215678493
18	1.150210177
19	1.088045146
20	1.034428298
21	0.9839241667
22	0.9407324964
23	0.9029347096
24	0.8718146814
25	0.840297318
26	0.8140872495
27	0.7918007907
28	0.7698270497
29	0.7499021392
30	0.7336744695
31	0.7202660588
32	0.7066238563
33	0.6944483232
34	0.6787052506
35	0.6672436051
36	0.6581937789
37	0.6500297366
38	0.6380246086
39	0.6288053111
40	0.6191501911
41	0.6134002042
42	0.6066589545
43	0.6010094657
44	0.5946554051
45	0.5890278273
46	0.5843119804
47	0.5784600209
48	0.5727888315
49	0.5677021068
50	0.5608661415
51	0.5572011569
52	0.5537318932
53	0.5481573801
54	0.5454256333
55	0.5411849714
56	0.538218055
57	0.5344147457
58	0.5317163321
59	0.5279057396
60	0.5253013824
61	0.5216585039
62	0.5196553229
63	0.5144073391
64	0.5095395729
65	0.5077630618
66	0.5039083254
67	0.4997009036
68	0.4960370128
69	0.492413836
70	0.4893889984
71	0.4876673513
72	0.4845488887
73	0.4822689744
74	0.4786552762
75	0.476319663
76	0.4741828606
77	0.4724261425
78	0.4690217115
79	0.4665102502
80	0.4651375677
81	0.4619079552
82	0.4594526733
83	0.4576706342
84	0.4553326616
85	0.4526612528
86	0.4506140082
87	0.4492237222
88	0.4479826763
89	0.4448920844
90	0.4429965338
91	0.4415477095
92	0.4391767531
93	0.4373437883
94	0.4364172076
95	0.4351152131
96	0.4336639663
97	0.4325608199
98	0.4311378424
99	0.4295093203
