iter	Passed	Remaining
0	81	8092
1	93	4588
2	109	3552
3	126	3027
4	145	2768
5	162	2544
6	183	2435
7	200	2310
8	210	2132
9	227	2043
10	242	1962
11	258	1898
12	272	1820
13	292	1794
14	307	1744
15	323	1697
16	339	1656
17	359	1636
18	376	1605
19	392	1569
20	408	1536
21	427	1515
22	443	1484
23	460	1457
24	479	1437
25	496	1413
26	512	1385
27	527	1355
28	543	1330
29	560	1306
30	576	1282
31	592	1258
32	608	1235
33	626	1216
34	648	1203
35	665	1183
36	682	1162
37	697	1138
38	713	1116
39	729	1093
40	744	1071
41	759	1049
42	775	1027
43	791	1006
44	806	985
45	826	970
46	843	951
47	860	932
48	877	913
49	893	893
50	909	873
51	925	854
52	941	834
53	957	815
54	974	796
55	990	778
56	1025	773
57	1084	785
58	1107	769
59	1123	749
60	1139	728
61	1155	708
62	1171	688
63	1188	668
64	1207	650
65	1224	630
66	1242	611
67	1257	591
68	1274	572
69	1290	553
70	1306	533
71	1322	514
72	1338	494
73	1353	475
74	1373	457
75	1393	440
76	1410	421
77	1426	402
78	1441	383
79	1457	364
80	1473	345
81	1489	326
82	1504	308
83	1519	289
84	1535	271
85	1555	253
86	1575	235
87	1592	217
88	1608	198
89	1624	180
90	1641	162
91	1658	144
92	1673	125
93	1688	107
94	1705	89
95	1720	71
96	1740	53
97	1757	35
98	1774	17
99	1789	0
